No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Asset Turnover,Ent. Value,PE Ratio,Div. Yield,Div. Growth,Op. Income,Net Income,EPS,EPS Growth,EBIT,EBITDA,Operating CF,Investing CF,Financing CF,Net CF,Income Tax,FCF Growth,Total Debt,Debt Growth (YoY),Assets,Liabilities,PB Ratio,EV/EBITDA,Beta (1Y),ATR,Short Ratio,Net WC
11,JPM,JPMorgan Chase & Co.,572898165000,199.50,-0.60%,161689000000,0.04,778592165000,12.04,2.31%,6.25%,71867000000,48509000000,16.57,22.20%,61098000000,68965000000,-29943000000,470000000,51040000000,16116000000,12589000000,,767810000000,31.45%,4090727000000,3754090000000,1.70,11.29,1.12,3.42,2.24,
12,TSLA,"Tesla, Inc.",563691100000,176.75,-1.39%,94745000000,0.95,542188100000,45.09,,,7398000000,13613000000,3.92,15.29%,8963000000,13830000000,10985000000,-18184000000,3018000000,-4306000000,-4853000000,-76.08%,5360000000,100.30%,109226000000,44046000000,8.76,39.20,2.41,7.78,0.95,-3320000000
13,V,Visa Inc.,542230194429,270.98,-1.28%,34141000000,0.38,543546194429,30.31,0.77%,16.52%,21882000000,18390000000,8.94,19.52%,22971000000,23949000000,20876000000,-4236000000,-16752000000,-180000000,3947000000,8.57%,20603000000,-0.01%,92399000000,51914000000,13.39,22.70,0.95,3.61,4.46,-9955000000
14,WMT,Walmart Inc.,524208741600,65.04,-0.52%,648125000000,2.56,575662741600,34.05,1.28%,9.21%,27012000000,15511000000,1.91,34.51%,23772000000,35625000000,35726000000,-21287000000,-13414000000,1094000000,5578000000,26.46%,61321000000,4.07%,252399000000,162050000000,6.25,16.16,0.49,1.02,2.45,-18868000000
15,XOM,Exxon Mobil Corporation,515253919800,114.86,1.27%,341101000000,0.92,522344919800,14.08,3.31%,4.16%,49260000000,32800000000,8.16,-44.75%,47983000000,69192000000,53692000000,-18926000000,-33772000000,673000000,14272000000,-45.05%,40440000000,-2.43%,377918000000,164866000000,2.51,7.55,0.95,2.17,6.23,2334000000
16,UNH,UnitedHealth Group Incorporated,463579516800,503.68,-0.88%,379487000000,1.36,500887516800,30.75,1.49%,13.94%,32203000000,15361000000,16.38,-25.10%,24329000000,28328000000,13885000000,-10894000000,-16488000000,-13499000000,5632000000,-69.26%,73637000000,4.32%,284210000000,187292000000,5.35,17.68,0.56,8.33,1.92,-42031000000
17,MA,Mastercard Incorporated,410572947600,445.08,-1.35%,25698000000,0.63,416683947600,35.35,0.59%,16.04%,14476000000,11845000000,12.59,25.77%,14937000000,15761000000,11733000000,-1128000000,-10214000000,387000000,2499000000,4.34%,15629000000,0.39%,42602000000,35294000000,56.69,26.44,1.08,6.22,1.86,-5913000000
18,PG,The Procter & Gamble Company,384962435400,163.11,-1.34%,84060000000,0.70,410116435400,26.65,2.47%,4.02%,18822000000,15127000000,6.12,6.43%,19975000000,22816000000,19433000000,-3784000000,-16249000000,-768000000,3902000000,32.46%,31982000000,-12.60%,119598000000,69264000000,7.69,17.97,0.42,1.83,2.60,-8981000000
19,COST,Costco Wholesale Corporation,360644147680,813.17,0.42%,248828000000,3.61,359756147680,53.18,0.57%,13.44%,8506000000,6794000000,15.29,12.34%,9248000000,11767000000,10648000000,-4859000000,-9649000000,-3875000000,2283000000,13.26%,9433000000,3.22%,66323000000,45563000000,17.37,30.57,0.76,12.36,3.55,-11783000000
20,JNJ,Johnson & Johnson,347476458400,144.38,-1.76%,81796000000,0.47,354890458400,9.57,3.44%,5.02%,20645000000,38476000000,15.09,216.35%,42052000000,49473000000,23191000000,-2901000000,-21417000000,-1392000000,2864000000,15.41%,33632000000,-36.43%,171966000000,101946000000,4.96,7.17,0.55,2.45,2.10,-9391000000
21,ORCL,Oracle Corporation,342162009900,124.49,1.29%,52510000000,0.39,420238009900,32.85,1.29%,17.65%,14808000000,10643000000,3.79,25.50%,14660000000,20831000000,18239000000,-6206000000,-10720000000,1262000000,426000000,67.96%,87980000000,-4.17%,137082000000,130900000000,60.85,20.17,1.02,2.23,2.53,-8216000000
22,HD,"The Home Depot, Inc.",325943521800,328.70,1.11%,151830000000,1.97,372690521800,22.03,2.74%,8.77%,21217000000,14870000000,14.92,-9.19%,21217000000,24508000000,21055000000,-4656000000,-13401000000,2998000000,4595000000,36.33%,51011000000,3.20%,79230000000,77410000000,179.09,15.21,1.01,6.30,2.32,5843000000
23,MRK,"Merck & Co., Inc.",319362012900,126.09,-2.63%,61402000000,0.58,347962012900,140.10,2.44%,5.63%,4252000000,2306000000,0.90,-82.42%,5103000000,8968000000,14757000000,-13100000000,-5570000000,-4115000000,1590000000,-1.97%,34219000000,11.30%,105849000000,65425000000,7.91,38.80,0.40,2.02,2.84,3804000000
24,BAC,Bank of America Corporation,307496948400,39.32,-0.96%,98141000000,0.03,335039948400,13.56,2.44%,9.09%,31297000000,23352000000,2.90,-12.91%,26515000000,28607000000,40743000000,-137555000000,35882000000,-62814000000,1487000000,46.54%,664899000000,1.54%,3273803000000,2980251000000,1.05,11.71,1.38,0.69,1.75,
25,CVX,Chevron Corporation,293105948800,159.04,0.82%,198872000000,0.77,308662948800,14.63,4.10%,7.17%,28459000000,20296000000,10.87,-41.31%,28398000000,46289000000,35232000000,-16381000000,-28399000000,-9687000000,7630000000,-49.27%,21835000000,-5.91%,261651000000,99995000000,1.82,6.67,1.11,2.50,7.04,1572000000
26,NFLX,"Netflix, Inc.",279696285000,649.00,0.35%,34932234000,0.71,286666520000,44.98,,,7872220000,6435079000,14.43,55.16%,8050011000,22812115000,7308083000,729690000,-7709674000,288570000,916031000,136.77%,14015974000,-2.92%,48827721000,27462311000,13.09,12.57,1.23,15.02,1.84,-5614707000
27,AMD,"Advanced Micro Devices, Inc.",277374959100,171.61,3.16%,22800000000,0.34,274337959100,248.71,,,582000000,1116000000,0.69,213.64%,811000000,4166000000,1702000000,-321000000,-1016000000,365000000,-411000000,-53.47%,2998000000,5.27%,67895000000,11697000000,4.94,65.85,1.66,6.80,0.72,5325000000
28,ABBV,AbbVie Inc.,274310245800,155.34,-1.10%,54403000000,0.39,330242245800,46.09,3.99%,4.84%,12787000000,5993000000,3.37,-20.52%,9202000000,17847000000,22686000000,-11098000000,-211000000,11356000000,1526000000,-6.93%,74001000000,19.18%,148874000000,140827000000,34.26,18.50,0.59,2.88,3.04,-10524000000
29,KO,The Coca-Cola Company,266317469000,61.82,-0.29%,46074000000,0.47,291948469000,24.73,3.14%,5.00%,10085000000,10784000000,2.50,10.13%,14317000000,15421000000,11967000000,-3136000000,-9969000000,-1462000000,1996000000,10.95%,42550000000,0.35%,99392000000,71446000000,10.08,18.93,0.57,0.65,2.15,-8367000000
30,CRM,"Salesforce, Inc.",262072657330,269.83,-0.90%,34857000000,0.37,260466657330,64.25,0.59%,,5011000000,4136000000,4.20,1900.00%,4950000000,8909000000,10234000000,-1327000000,-7477000000,1456000000,814000000,50.45%,12588000000,-10.65%,99823000000,40177000000,4.39,29.24,1.30,6.03,1.58,-10234000000
31,PEP,"PepsiCo, Inc.",238361090200,173.38,-2.59%,91875000000,0.93,275879090200,26.07,3.13%,9.23%,12074000000,9184000000,6.65,39.71%,12241000000,15821000000,12793000000,-5525000000,-3776000000,3293000000,2236000000,32.79%,45868000000,9.82%,100040000000,80850000000,12.51,17.44,0.53,2.63,3.29,-4418000000
32,QCOM,QUALCOMM Incorporated,237797280000,213.08,1.29%,36406000000,0.71,239403280000,28.64,1.60%,6.56%,8501000000,8386000000,7.44,-20.17%,9268000000,11057000000,13250000000,-1076000000,-6726000000,5437000000,187000000,75.74%,15457000000,-3.30%,53167000000,28698000000,9.72,21.65,1.33,5.43,2.92,2152000000
33,TMO,Thermo Fisher Scientific Inc.,218559130120,572.57,-1.97%,42492000000,0.44,246917130120,36.73,0.27%,13.85%,6958000000,6034000000,15.59,1.63%,7991000000,11374000000,8928000000,-4030000000,-2850000000,2019000000,519000000,35.36%,35608000000,1.00%,97095000000,51591000000,4.80,21.71,0.80,9.57,1.92,6904000000
34,ADBE,Adobe Inc.,214336640000,478.43,0.63%,19936000000,0.69,211602640000,45.74,,,5971000000,4801000000,10.46,3.05%,6277000000,7218000000,6783000000,686000000,-5296000000,2182000000,1368000000,-11.37%,4086000000,-0.97%,28751000000,13291000000,13.86,29.32,1.28,10.10,2.99,-4779000000
35,WFC,Wells Fargo & Company,207366313600,59.48,-1.21%,82731000000,0.04,234497313600,12.39,2.35%,16.67%,21377000000,17582000000,4.80,33.70%,21375000000,27913000000,20827000000,45093000000,46245000000,112165000000,2605000000,-39.20%,296778000000,16.62%,1959153000000,1776479000000,1.15,8.40,1.18,1.04,2.00,
36,LIN,Linde plc,206669422720,429.92,-1.30%,32761000000,0.41,222140422720,33.38,1.29%,9.00%,8164000000,6310000000,12.88,43.27%,8385000000,12202000000,9351000000,-4077000000,-5304000000,-114000000,1847000000,-1.37%,20319000000,8.21%,80347000000,40118000000,5.32,18.21,0.95,6.13,3.60,-1043000000
37,TMUS,"T-Mobile US, Inc.",196062223500,167.31,0.79%,78520000000,0.38,297206223500,22.76,1.55%,,14988000000,8751000000,7.35,139.41%,14946000000,27932000000,19592000000,-5888000000,-11490000000,2214000000,2815000000,198.09%,111911000000,1.71%,206268000000,144194000000,3.16,10.64,0.48,1.93,5.13,-1971000000
38,DHR,Danaher Corporation,191623133770,258.71,-1.55%,22519000000,0.27,202755133770,43.92,0.42%,13.91%,4720000000,4402000000,5.89,-36.53%,5343000000,7538000000,6956000000,-7098000000,-144000000,-348000000,658000000,-24.45%,18163000000,-8.42%,83402000000,29955000000,3.59,26.90,0.85,4.23,2.22,1309000000
39,ACN,Accenture plc,187191485170,297.73,-1.08%,64573602000,1.26,185224419170,26.99,1.73%,15.24%,8883522000,7031262000,11.03,1.57%,9212143000,11504851000,9298353000,-4425777000,-5870779000,-1117680000,2127470000,-3.34%,3158581000,-1.56%,51307471000,23351047000,6.90,16.10,1.21,5.67,2.40,-139146000
40,DIS,The Walt Disney Company,186752217600,102.44,0.67%,89203000000,0.45,226416217600,110.15,0.88%,,4816000000,1695000000,0.93,-58.67%,4332000000,9570000000,13455000000,-4653000000,-12422000000,-3727000000,1493000000,499.14%,46299000000,-4.57%,195110000000,91347000000,1.88,23.66,1.40,2.12,1.71,-8084000000
41,CSCO,"Cisco Systems, Inc.",186453326800,46.28,-0.30%,55364000000,0.52,196233326800,15.64,3.46%,2.60%,13816000000,12116000000,2.96,6.47%,15008000000,17114000000,13116000000,-20870000000,8701000000,893000000,2193000000,-26.67%,31993000000,281.14%,122998000000,77230000000,4.07,11.47,0.86,0.78,2.99,-14544000000
42,GE,GE Aerospace,184507461600,168.56,0.74%,69521000000,0.43,182848461600,55.27,0.28%,121.00%,2976000000,3364000000,3.05,-61.10%,5849000000,7944000000,6430000000,6581000000,-5585000000,7418000000,1210000000,-6.77%,20525000000,-8.46%,163942000000,132838000000,6.18,23.02,1.25,4.05,1.64,-12650000000
43,AMAT,"Applied Materials, Inc.",183247427000,221.32,0.19%,26501000000,0.85,181252427000,25.44,0.72%,23.64%,7652000000,7305000000,8.70,14.78%,8511000000,8964000000,7855000000,-1510000000,-3865000000,2480000000,970000000,15.09%,5562000000,-1.70%,31949000000,13750000000,10.07,20.22,1.58,5.79,2.67,4923000000
44,MCD,McDonald's Corporation,182803607700,253.54,-1.77%,25764900000,0.49,232846607700,21.52,2.64%,9.93%,11849300000,8595500000,11.78,26.53%,12066300000,14064000000,9581200000,-4936200000,-7476700000,-2870800000,2067700000,26.91%,50881000000,1.93%,53513000000,58346000000,,16.56,0.71,4.38,2.20,-378000000
45,TXN,Texas Instruments Incorporated,181732207200,199.60,0.21%,16801000000,0.52,185528207200,31.14,2.61%,5.54%,6683000000,5907000000,6.41,-28.06%,7166000000,8485000000,6277000000,-7719000000,-552000000,-1994000000,858000000,-78.64%,14189000000,40.12%,34885000000,17902000000,10.70,21.87,1.00,4.06,3.53,4851000000
46,ABT,Abbott Laboratories,177355278500,101.95,-1.92%,40326000000,0.55,185290278500,31.76,2.16%,8.16%,6355000000,5630000000,3.21,-2.43%,7163000000,10405000000,7143000000,-3096000000,-6857000000,-2877000000,908000000,-27.85%,14586000000,-13.69%,72467000000,33424000000,4.54,17.81,0.75,1.50,2.74,3714000000
47,AXP,American Express Company,170654636750,237.25,-0.39%,56898000000,0.22,167009636750,19.54,1.18%,16.07%,11491000000,8995000000,12.14,27.52%,11491000000,13132000000,24488000000,-26173000000,14963000000,13377000000,2496000000,52.05%,50568000000,17.98%,269261000000,240497000000,5.93,12.72,1.20,3.77,2.50,
48,CAT,Caterpillar Inc.,169442192910,346.47,-0.70%,66997000000,0.78,202336192910,15.66,1.50%,8.33%,13754000000,11248000000,22.13,63.68%,14534000000,16670000000,13364000000,-4230000000,-10826000000,-1831000000,2761000000,55.44%,37853000000,2.20%,83741000000,66096000000,9.60,12.14,1.18,7.80,4.10,19356000000
49,INTU,Intuit Inc.,167733790940,600.02,-1.15%,15813000000,0.54,168770790940,55.40,0.60%,15.38%,3798000000,3072000000,10.83,36.74%,3935000000,4796000000,5309000000,-348000000,-2216000000,2731000000,613000000,18.75%,6420000000,-9.69%,31560000000,12803000000,8.94,35.19,1.22,15.77,2.94,-2310000000
50,VZ,Verizon Communications Inc.,165676473600,39.36,-0.96%,134043000000,0.35,338945473600,14.74,6.76%,1.92%,22814000000,11307000000,2.67,-48.16%,22022000000,39773000000,36270000000,-22567000000,-13702000000,1000000,4763000000,24.05%,175634000000,-1.51%,380158000000,284432000000,1.76,8.52,0.41,0.61,2.44,1837000000
51,AMGN,Amgen Inc.,161032422350,300.19,-1.85%,29532000000,0.32,215344422350,42.82,3.00%,7.62%,6967000000,3763000000,7.01,-52.35%,7501000000,12071000000,8096000000,-27779000000,-2169000000,-21852000000,582000000,-5.75%,64020000000,3.94%,92980000000,87958000000,32.07,17.84,0.60,6.96,3.61,2566000000
52,PFE,Pfizer Inc.,160364497000,28.30,-2.01%,55094000000,0.25,217975497000,,5.94%,2.47%,-1791000000,-309000000,-0.05,,-1846000000,4693000000,8578000000,-33861000000,23906000000,-1443000000,-1537000000,-74.73%,69539000000,93.75%,221095000000,128537000000,1.74,46.45,0.59,0.62,1.60,-1778000000
53,MS,Morgan Stanley,160354537200,98.67,-0.30%,54762000000,0.05,344523537200,17.97,3.45%,9.68%,12740000000,8960000000,5.49,-5.83%,12308000000,16599000000,-19311000000,-989000000,12419000000,-8953000000,2789000000,,286474000000,3.65%,1228503000000,1128363000000,1.62,20.76,1.40,1.69,2.31,
54,NEE,"NextEra Energy, Inc.",159287710900,77.53,1.20%,27130000000,0.16,238157979300,21.18,2.66%,10.08%,9308000000,7492000000,3.66,8.61%,10802000000,16757000000,12705000000,-24971000000,10297000000,-1976000000,846000000,,79937000000,13.16%,179950000000,120561000000,3.29,14.21,0.49,1.46,2.78,304000000
55,IBM,International Business Machines Corporation,155850184980,169.66,-0.72%,62070000000,0.47,194567184980,19.19,3.94%,0.61%,10377000000,8180000000,8.84,346.46%,10402000000,14855000000,14325000000,-3320000000,-5600000000,5230000000,550000000,43.35%,62871000000,1.94%,137169000000,113836000000,6.70,13.10,0.75,2.86,4.27,-13633000000
56,PM,Philip Morris International Inc.,155533728000,100.05,0.12%,35948000000,0.56,201952728000,19.54,5.20%,2.17%,11870000000,7966000000,5.12,-8.41%,11683000000,13149000000,10400000000,-3200000000,-5311000000,1653000000,2587000000,17.60%,50387000000,6.93%,65315000000,73878000000,,15.36,0.62,1.42,1.74,442000000
57,CMCSA,Comcast Corporation,150852497200,38.54,,121939000000,0.46,240910497200,10.20,3.22%,7.14%,23477000000,15411000000,3.78,188.55%,24713000000,38823000000,29121000000,-7302000000,-20791000000,1008000000,5223000000,18.64%,96573000000,-4.10%,263601000000,180552000000,1.83,6.21,0.99,0.73,2.55,-20359000000
58,NOW,"ServiceNow, Inc.",149416300000,728.86,-1.31%,9478000000,0.58,146579300000,78.04,,,950000000,1928000000,9.34,376.53%,1245000000,1811000000,3837000000,-2561000000,-1067000000,205000000,-683000000,48.27%,2273000000,1.56%,17544000000,9437000000,18.43,80.94,0.98,18.65,2.12,-4679000000
59,GS,"The Goldman Sachs Group, Inc.",148272171840,459.81,-0.30%,48243000000,0.03,801343171840,17.95,2.39%,10.00%,11983000000,8751000000,25.61,-8.93%,11983000000,16496000000,-50029000000,-23314000000,55515000000,-19942000000,2569000000,,862456000000,13.22%,1698440000000,1579894000000,1.25,48.58,1.39,7.38,2.36,
60,MU,"Micron Technology, Inc.",146914777900,132.67,2.46%,18312000000,0.28,152223777900,,0.35%,,-4170000000,-3767000000,-3.45,,-3677000000,4055000000,2893000000,-4719000000,91000000,-1786000000,-434000000,,14315000000,11.11%,65718000000,21848000000,3.35,37.54,1.28,4.26,1.42,8514000000
61,BX,Blackstone Inc.,146548844562,121.21,-1.97%,10328824000,0.25,155568481562,42.83,2.74%,-13.85%,5182262000,2152454000,2.83,245.12%,3337541000,3373601000,4644024000,-172437000,-4818440000,-349111000,749457000,21.13%,11691819000,-12.43%,39706302000,21228868000,21.07,46.11,1.50,3.51,5.01,
62,ISRG,"Intuitive Surgical, Inc.",142247747180,401.03,-0.94%,7318500000,0.49,137447647180,72.39,,,1848600000,1987600000,5.54,51.37%,2059300000,2531800000,1707800000,-1061700000,46900000,701300000,71700000,-40.79%,,,15828000000,1781600000,10.19,54.29,1.39,8.14,2.68,1457500000
63,RTX,RTX Corp,140289895200,105.52,-0.71%,71011000000,0.44,178936895200,41.87,2.39%,7.14%,3339000000,3478000000,2.52,-32.80%,5267000000,9503000000,9088000000,-1767000000,-7630000000,-300000000,194000000,94.39%,44254000000,22.55%,160187000000,98050000000,2.32,18.83,0.58,1.30,4.96,-2093000000
64,UNP,Union Pacific Corporation,139724039220,229.01,-1.31%,24094000000,0.36,171723039220,21.87,2.27%,,9160000000,6390000000,10.47,-7.43%,9559000000,11899000000,8661000000,-3664000000,-5149000000,-152000000,1841000000,-7.23%,32944000000,-5.92%,67266000000,51601000000,8.92,14.43,1.06,3.89,1.90,-552000000
65,COP,Conoco Phillips,139127288800,118.96,1.46%,57533000000,0.61,151483288800,13.47,1.57%,-6.03%,16744000000,10588000000,8.83,-29.53%,16331000000,24870000000,19547000000,-12693000000,-8160000000,-1374000000,4946000000,-55.85%,18417000000,11.06%,95348000000,46023000000,2.82,6.09,1.26,2.16,3.02,-1390000000
66,NKE,"NIKE, Inc.",138870462324,92.00,0.27%,51581000000,1.39,140398462324,27.06,1.61%,9.43%,5986000000,5231000000,3.40,-2.02%,6084000000,6960000000,7063000000,1611000000,-6649000000,2005000000,989000000,63.16%,12101000000,-3.70%,37356000000,23130000000,9.76,20.17,1.08,1.51,1.87,5631000000
67,ETN,Eaton Corporation plc,134876528000,337.36,-1.04%,23656000000,0.63,142222528000,39.83,1.12%,7.78%,4114000000,3401000000,8.47,32.14%,4193000000,5106000000,3764000000,-2418000000,-1126000000,238000000,660000000,29.51%,9788000000,5.68%,38535000000,19209000000,6.99,27.85,1.06,7.26,1.65,2793000000
68,SPGI,S&P Global Inc.,134859900000,431.00,-1.65%,12828000000,0.21,145544900000,48.32,0.84%,3.43%,4232000000,2823000000,8.92,5.44%,3987000000,5130000000,4064000000,795000000,-4707000000,139000000,838000000,36.57%,12229000000,,60477000000,22228000000,3.93,28.37,1.14,6.45,1.54,-1692000000
69,UBER,"Uber Technologies, Inc.",132726310400,63.52,-1.15%,38589000000,1.04,135159310400,100.83,,,1544000000,1390000000,0.63,,2166000000,2976000000,4395000000,-3069000000,-88000000,1191000000,187000000,323.12%,11161000000,0.74%,39599000000,27100000000,12.00,45.42,1.39,2.09,2.18,-6463000000
70,INTC,Intel Corporation,132222420000,31.06,1.11%,55237000000,0.29,163829690000,32.35,1.61%,-59.02%,492000000,4066000000,0.96,,628000000,10415000000,12033000000,-18083000000,4741000000,-1309000000,-2805000000,,52450000000,4.33%,192733000000,81977000000,1.25,15.73,1.09,0.94,1.23,-1335000000
71,HON,Honeywell International Inc.,129703227480,199.18,-0.26%,36903000000,0.59,142954227480,23.08,2.17%,4.91%,8063000000,5727000000,8.63,12.08%,8051000000,9235000000,6572000000,-1537000000,-94000000,4887000000,1509000000,49.00%,25256000000,31.80%,65645000000,48600000000,7.88,15.48,1.02,2.85,2.33,2014000000
72,SYK,Stryker Corporation,129260144500,339.31,1.12%,20963000000,0.54,139718144500,38.73,0.94%,6.96%,4125000000,3361000000,8.76,27.51%,3917000000,4321000000,3470000000,-1238000000,-1531000000,659000000,556000000,26.07%,12865000000,-1.50%,39402000000,20230000000,6.74,32.33,0.92,5.70,2.57,4588000000
73,BKNG,Booking Holdings Inc.,128589296300,3790.12,-0.14%,22002000000,0.84,130054296300,28.19,0.92%,,6176000000,4799000000,134.44,32.58%,7037000000,7718000000,7159000000,-31000000,-5563000000,1492000000,1316000000,-8.50%,17456000000,37.83%,27728000000,31780000000,,16.85,1.40,78.26,3.50,-8885000000
74,LRCX,Lam Research Corporation,126983503660,971.26,0.07%,14241136000,0.77,126294722660,35.67,0.82%,15.94%,3991958000,3610027000,27.23,-24.15%,4069481000,4430427000,4912564000,-324181000,-4459685000,117417000,459454000,14.84%,4983451000,-0.44%,18279650000,10257549000,15.83,28.51,1.51,27.03,2.27,2891181000
75,SCHW,The Charles Schwab Corporation,125813651200,70.79,-2.05%,18461000000,0.04,123426651200,29.62,1.41%,6.38%,6066000000,4367000000,2.39,-34.70%,6066000000,7450000000,8461000000,55857000000,-76075000000,-11757000000,1240000000,-2.21%,55270000000,-23.96%,468784000000,426372000000,2.97,16.57,0.98,1.71,1.95,
76,T,AT&T Inc.,123828835900,17.27,-1.31%,122317000000,0.30,270363835900,9.28,6.43%,,23306000000,13411000000,1.86,,24366000000,43559000000,39183000000,-18803000000,-19718000000,662000000,4029000000,61.37%,150055000000,-3.75%,399428000000,280808000000,1.18,6.21,0.70,0.26,2.17,-10849000000
77,LOW,"Lowe's Companies, Inc.",123232991040,215.37,0.07%,86377000000,1.98,162149991040,16.32,2.04%,4.76%,11557000000,7726000000,13.20,29.79%,11557000000,13979000000,8140000000,-1901000000,-6666000000,-427000000,2449000000,-8.46%,40145000000,5.66%,41795000000,56845000000,,11.60,1.14,4.61,3.87,3299000000
78,ELV,Elevance Health Inc.,120669101420,519.19,-0.43%,171745000000,1.56,110853101420,19.60,1.26%,12.68%,9079000000,6244000000,26.49,4.87%,9087000000,10701000000,3570000000,-4698000000,-2786000000,-3916000000,1799000000,-79.37%,26451000000,3.87%,111894000000,71184000000,2.97,10.36,0.79,8.43,1.74,-15178000000
79,PGR,The Progressive Corporation,120173515640,205.18,0.62%,65047800000,0.74,126895315640,21.00,0.20%,-25.00%,7563900000,5738600000,9.77,597.86%,7546900000,7842900000,12429200000,-11689700000,-860200000,-120700000,1503300000,86.04%,6889700000,7.83%,94127900000,72316600000,5.51,16.18,0.34,3.74,1.83,
80,C,Citigroup Inc.,119119628000,62.45,-1.78%,78119000000,0.03,463181628000,18.15,3.40%,3.92%,11271000000,7993000000,3.44,-52.02%,11126000000,15685000000,-53762000000,9458000000,-2728000000,-51229000000,3133000000,,616792000000,6.79%,2432510000000,2225112000000,0.58,29.53,1.48,1.22,2.23,
81,UPS,"United Parcel Service, Inc.",117707798828,137.58,-0.78%,89739000000,1.29,137591798828,19.91,4.74%,3.50%,8213000000,5926000000,6.91,-44.09%,8379000000,11809000000,11197000000,-3754000000,-9204000000,-1816000000,1661000000,-21.51%,24397000000,-7.57%,67628000000,50695000000,6.96,11.65,1.05,2.72,3.41,-1174000000
82,ADI,"Analog Devices, Inc.",115836896480,233.44,0.40%,10464722000,0.21,121531776480,54.54,1.58%,9.88%,2535995000,2140418000,4.28,-39.20%,2579808000,4764067000,4276433000,-1626986000,-1887361000,762086000,144210000,-22.52%,8058692000,19.76%,48861866000,13613077000,3.29,25.51,1.14,5.69,3.70,979498000
