,No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Asset Turnover,Ent. Value,PE Ratio,Div. Yield,Div. Growth,Op. Income,Net Income,EPS,EBIT,EBITDA,Operating CF,Investing CF,Financing CF,Net CF,Income Tax,Total Debt,Debt Growth (YoY),Assets,Liabilities,PB Ratio,EV/EBITDA,Beta (1Y),ATR,Short Ratio
15,16,UNH,UnitedHealth Group Incorporated,463579516800,503.68,379487000000.0,1.36,500887516800.0,30.75,1.49%,13.94%,32203000000.0,15361000000.0,16.38,24329000000.0,28328000000.0,13885000000.0,-10894000000.0,-16488000000.0,-13499000000.0,5632000000.0,73637000000.0,0.0432,284210000000.0,187292000000.0,5.35,17.68,0.56,8.33,1.92
16,17,MA,Mastercard Incorporated,410572947600,445.08,25698000000.0,0.63,416683947600.0,35.35,0.59%,16.04%,14476000000.0,11845000000.0,12.59,14937000000.0,15761000000.0,11733000000.0,-1128000000.0,-10214000000.0,387000000.0,2499000000.0,15629000000.0,0.0039000000000000003,42602000000.0,35294000000.0,56.69,26.44,1.08,6.22,1.86
17,18,PG,The Procter & Gamble Company,384962435400,163.11,84060000000.0,0.7,410116435400.0,26.65,2.47%,4.02%,18822000000.0,15127000000.0,6.12,19975000000.0,22816000000.0,19433000000.0,-3784000000.0,-16249000000.0,-768000000.0,3902000000.0,31982000000.0,-0.126,119598000000.0,69264000000.0,7.69,17.97,0.42,1.83,2.6
18,19,COST,Costco Wholesale Corporation,360644147680,813.17,248828000000.0,3.61,359756147680.0,53.18,0.57%,13.44%,8506000000.0,6794000000.0,15.29,9248000000.0,11767000000.0,10648000000.0,-4859000000.0,-9649000000.0,-3875000000.0,2283000000.0,9433000000.0,0.0322,66323000000.0,45563000000.0,17.37,30.57,0.76,12.36,3.55
19,20,JNJ,Johnson & Johnson,347476458400,144.38,81796000000.0,0.47,354890458400.0,9.57,3.44%,5.02%,20645000000.0,38476000000.0,15.09,42052000000.0,49473000000.0,23191000000.0,-2901000000.0,-21417000000.0,-1392000000.0,2864000000.0,33632000000.0,-0.3643,171966000000.0,101946000000.0,4.96,7.17,0.55,2.45,2.1
20,21,ORCL,Oracle Corporation,342162009900,124.49,52510000000.0,0.39,420238009900.0,32.85,1.29%,17.65%,14808000000.0,10643000000.0,3.79,14660000000.0,20831000000.0,18239000000.0,-6206000000.0,-10720000000.0,1262000000.0,426000000.0,87980000000.0,-0.0417,137082000000.0,130900000000.0,60.85,20.17,1.02,2.23,2.53
21,22,HD,"The Home Depot, Inc.",325943521800,328.7,151830000000.0,1.97,372690521800.0,22.03,2.74%,8.77%,21217000000.0,14870000000.0,14.92,21217000000.0,24508000000.0,21055000000.0,-4656000000.0,-13401000000.0,2998000000.0,4595000000.0,51011000000.0,0.032,79230000000.0,77410000000.0,179.09,15.21,1.01,6.3,2.32
22,23,MRK,"Merck & Co., Inc.",319362012900,126.09,61402000000.0,0.58,347962012900.0,140.1,2.44%,5.63%,4252000000.0,2306000000.0,0.9,5103000000.0,8968000000.0,14757000000.0,-13100000000.0,-5570000000.0,-4115000000.0,1590000000.0,34219000000.0,0.113,105849000000.0,65425000000.0,7.91,38.8,0.4,2.02,2.84
23,24,BAC,Bank of America Corporation,307496948400,39.32,98141000000.0,0.03,335039948400.0,13.56,2.44%,9.09%,31297000000.0,23352000000.0,2.9,26515000000.0,28607000000.0,40743000000.0,-137555000000.0,35882000000.0,-62814000000.0,1487000000.0,664899000000.0,0.0154,3273803000000.0,2980251000000.0,1.05,11.71,1.38,0.69,1.75
24,25,CVX,Chevron Corporation,293105948800,159.04,198872000000.0,0.77,308662948800.0,14.63,4.10%,7.17%,28459000000.0,20296000000.0,10.87,28398000000.0,46289000000.0,35232000000.0,-16381000000.0,-28399000000.0,-9687000000.0,7630000000.0,21835000000.0,-0.0591,261651000000.0,99995000000.0,1.82,6.67,1.11,2.5,7.04
25,26,NFLX,"Netflix, Inc.",279696285000,649.0,34932234000.0,0.71,286666520000.0,44.98,0,0,7872220000.0,6435079000.0,14.43,8050011000.0,22812115000.0,7308083000.0,729690000.0,-7709674000.0,288570000.0,916031000.0,14015974000.0,-0.0292,48827721000.0,27462311000.0,13.09,12.57,1.23,15.02,1.84
26,27,AMD,"Advanced Micro Devices, Inc.",277374959100,171.61,22800000000.0,0.34,274337959100.0,248.71,0,0,582000000.0,1116000000.0,0.69,811000000.0,4166000000.0,1702000000.0,-321000000.0,-1016000000.0,365000000.0,-411000000.0,2998000000.0,0.0527,67895000000.0,11697000000.0,4.94,65.85,1.66,6.8,0.72
27,28,ABBV,AbbVie Inc.,274310245800,155.34,54403000000.0,0.39,330242245800.0,46.09,3.99%,4.84%,12787000000.0,5993000000.0,3.37,9202000000.0,17847000000.0,22686000000.0,-11098000000.0,-211000000.0,11356000000.0,1526000000.0,74001000000.0,0.1918,148874000000.0,140827000000.0,34.26,18.5,0.59,2.88,3.04
28,29,KO,The Coca-Cola Company,266317469000,61.82,46074000000.0,0.47,291948469000.0,24.73,3.14%,5.00%,10085000000.0,10784000000.0,2.5,14317000000.0,15421000000.0,11967000000.0,-3136000000.0,-9969000000.0,-1462000000.0,1996000000.0,42550000000.0,0.0034999999999999996,99392000000.0,71446000000.0,10.08,18.93,0.57,0.65,2.15
29,30,CRM,"Salesforce, Inc.",262072657330,269.83,34857000000.0,0.37,260466657330.0,64.25,0.59%,0,5011000000.0,4136000000.0,4.2,4950000000.0,8909000000.0,10234000000.0,-1327000000.0,-7477000000.0,1456000000.0,814000000.0,12588000000.0,-0.1065,99823000000.0,40177000000.0,4.39,29.24,1.3,6.03,1.58
30,31,PEP,"PepsiCo, Inc.",238361090200,173.38,91875000000.0,0.93,275879090200.0,26.07,3.13%,9.23%,12074000000.0,9184000000.0,6.65,12241000000.0,15821000000.0,12793000000.0,-5525000000.0,-3776000000.0,3293000000.0,2236000000.0,45868000000.0,0.09820000000000001,100040000000.0,80850000000.0,12.51,17.44,0.53,2.63,3.29
31,32,QCOM,QUALCOMM Incorporated,237797280000,213.08,36406000000.0,0.71,239403280000.0,28.64,1.60%,6.56%,8501000000.0,8386000000.0,7.44,9268000000.0,11057000000.0,13250000000.0,-1076000000.0,-6726000000.0,5437000000.0,187000000.0,15457000000.0,-0.033,53167000000.0,28698000000.0,9.72,21.65,1.33,5.43,2.92
32,33,TMO,Thermo Fisher Scientific Inc.,218559130120,572.57,42492000000.0,0.44,246917130120.0,36.73,0.27%,13.85%,6958000000.0,6034000000.0,15.59,7991000000.0,11374000000.0,8928000000.0,-4030000000.0,-2850000000.0,2019000000.0,519000000.0,35608000000.0,0.01,97095000000.0,51591000000.0,4.8,21.71,0.8,9.57,1.92
33,34,ADBE,Adobe Inc.,214336640000,478.43,19936000000.0,0.69,211602640000.0,45.74,0,0,5971000000.0,4801000000.0,10.46,6277000000.0,7218000000.0,6783000000.0,686000000.0,-5296000000.0,2182000000.0,1368000000.0,4086000000.0,-0.0097,28751000000.0,13291000000.0,13.86,29.32,1.28,10.1,2.99
34,35,WFC,Wells Fargo & Company,207366313600,59.48,82731000000.0,0.04,234497313600.0,12.39,2.35%,16.67%,21377000000.0,17582000000.0,4.8,21375000000.0,27913000000.0,20827000000.0,45093000000.0,46245000000.0,112165000000.0,2605000000.0,296778000000.0,0.16620000000000001,1959153000000.0,1776479000000.0,1.15,8.4,1.18,1.04,2.0
35,36,LIN,Linde plc,206669422720,429.92,32761000000.0,0.41,222140422720.0,33.38,1.29%,9.00%,8164000000.0,6310000000.0,12.88,8385000000.0,12202000000.0,9351000000.0,-4077000000.0,-5304000000.0,-114000000.0,1847000000.0,20319000000.0,0.0821,80347000000.0,40118000000.0,5.32,18.21,0.95,6.13,3.6
36,37,TMUS,"T-Mobile US, Inc.",196062223500,167.31,78520000000.0,0.38,297206223500.0,22.76,1.55%,0,14988000000.0,8751000000.0,7.35,14946000000.0,27932000000.0,19592000000.0,-5888000000.0,-11490000000.0,2214000000.0,2815000000.0,111911000000.0,0.0171,206268000000.0,144194000000.0,3.16,10.64,0.48,1.93,5.13
37,38,DHR,Danaher Corporation,191623133770,258.71,22519000000.0,0.27,202755133770.0,43.92,0.42%,13.91%,4720000000.0,4402000000.0,5.89,5343000000.0,7538000000.0,6956000000.0,-7098000000.0,-144000000.0,-348000000.0,658000000.0,18163000000.0,-0.0842,83402000000.0,29955000000.0,3.59,26.9,0.85,4.23,2.22
38,39,ACN,Accenture plc,187191485170,297.73,64573602000.0,1.26,185224419170.0,26.99,1.73%,15.24%,8883522000.0,7031262000.0,11.03,9212143000.0,11504851000.0,9298353000.0,-4425777000.0,-5870779000.0,-1117680000.0,2127470000.0,3158581000.0,-0.015600000000000001,51307471000.0,23351047000.0,6.9,16.1,1.21,5.67,2.4
39,40,DIS,The Walt Disney Company,186752217600,102.44,89203000000.0,0.45,226416217600.0,110.15,0.88%,0,4816000000.0,1695000000.0,0.93,4332000000.0,9570000000.0,13455000000.0,-4653000000.0,-12422000000.0,-3727000000.0,1493000000.0,46299000000.0,-0.045700000000000005,195110000000.0,91347000000.0,1.88,23.66,1.4,2.12,1.71
40,41,CSCO,"Cisco Systems, Inc.",186453326800,46.28,55364000000.0,0.52,196233326800.0,15.64,3.46%,2.60%,13816000000.0,12116000000.0,2.96,15008000000.0,17114000000.0,13116000000.0,-20870000000.0,8701000000.0,893000000.0,2193000000.0,31993000000.0,2.8114,122998000000.0,77230000000.0,4.07,11.47,0.86,0.78,2.99
41,42,GE,GE Aerospace,184507461600,168.56,69521000000.0,0.43,182848461600.0,55.27,0.28%,121.00%,2976000000.0,3364000000.0,3.05,5849000000.0,7944000000.0,6430000000.0,6581000000.0,-5585000000.0,7418000000.0,1210000000.0,20525000000.0,-0.08460000000000001,163942000000.0,132838000000.0,6.18,23.02,1.25,4.05,1.64
42,43,AMAT,"Applied Materials, Inc.",183247427000,221.32,26501000000.0,0.85,181252427000.0,25.44,0.72%,23.64%,7652000000.0,7305000000.0,8.7,8511000000.0,8964000000.0,7855000000.0,-1510000000.0,-3865000000.0,2480000000.0,970000000.0,5562000000.0,-0.017,31949000000.0,13750000000.0,10.07,20.22,1.58,5.79,2.67
43,44,MCD,McDonald's Corporation,182803607700,253.54,25764900000.0,0.49,232846607700.0,21.52,2.64%,9.93%,11849300000.0,8595500000.0,11.78,12066300000.0,14064000000.0,9581200000.0,-4936200000.0,-7476700000.0,-2870800000.0,2067700000.0,50881000000.0,0.019299999999999998,53513000000.0,58346000000.0,19.20698207439013,16.56,0.71,4.38,2.2
44,45,TXN,Texas Instruments Incorporated,181732207200,199.6,16801000000.0,0.52,185528207200.0,31.14,2.61%,5.54%,6683000000.0,5907000000.0,6.41,7166000000.0,8485000000.0,6277000000.0,-7719000000.0,-552000000.0,-1994000000.0,858000000.0,14189000000.0,0.4012,34885000000.0,17902000000.0,10.7,21.87,1.0,4.06,3.53
45,46,ABT,Abbott Laboratories,177355278500,101.95,40326000000.0,0.55,185290278500.0,31.76,2.16%,8.16%,6355000000.0,5630000000.0,3.21,7163000000.0,10405000000.0,7143000000.0,-3096000000.0,-6857000000.0,-2877000000.0,908000000.0,14586000000.0,-0.1369,72467000000.0,33424000000.0,4.54,17.81,0.75,1.5,2.74
46,47,AXP,American Express Company,170654636750,237.25,56898000000.0,0.22,167009636750.0,19.54,1.18%,16.07%,11491000000.0,8995000000.0,12.14,11491000000.0,13132000000.0,24488000000.0,-26173000000.0,14963000000.0,13377000000.0,2496000000.0,50568000000.0,0.17980000000000002,269261000000.0,240497000000.0,5.93,12.72,1.2,3.77,2.5
47,48,CAT,Caterpillar Inc.,169442192910,346.47,66997000000.0,0.78,202336192910.0,15.66,1.50%,8.33%,13754000000.0,11248000000.0,22.13,14534000000.0,16670000000.0,13364000000.0,-4230000000.0,-10826000000.0,-1831000000.0,2761000000.0,37853000000.0,0.022000000000000002,83741000000.0,66096000000.0,9.6,12.14,1.18,7.8,4.1
48,49,INTU,Intuit Inc.,167733790940,600.02,15813000000.0,0.54,168770790940.0,55.4,0.60%,15.38%,3798000000.0,3072000000.0,10.83,3935000000.0,4796000000.0,5309000000.0,-348000000.0,-2216000000.0,2731000000.0,613000000.0,6420000000.0,-0.0969,31560000000.0,12803000000.0,8.94,35.19,1.22,15.77,2.94
49,50,VZ,Verizon Communications Inc.,165676473600,39.36,134043000000.0,0.35,338945473600.0,14.74,6.76%,1.92%,22814000000.0,11307000000.0,2.67,22022000000.0,39773000000.0,36270000000.0,-22567000000.0,-13702000000.0,1000000.0,4763000000.0,175634000000.0,-0.0151,380158000000.0,284432000000.0,1.76,8.52,0.41,0.61,2.44
50,51,AMGN,Amgen Inc.,161032422350,300.19,29532000000.0,0.32,215344422350.0,42.82,3.00%,7.62%,6967000000.0,3763000000.0,7.01,7501000000.0,12071000000.0,8096000000.0,-27779000000.0,-2169000000.0,-21852000000.0,582000000.0,64020000000.0,0.0394,92980000000.0,87958000000.0,32.07,17.84,0.6,6.96,3.61
51,52,PFE,Pfizer Inc.,160364497000,28.3,55094000000.0,0.25,217975497000.0,47.90614163353624,5.94%,2.47%,-1791000000.0,-309000000.0,-0.05,-1846000000.0,4693000000.0,8578000000.0,-33861000000.0,23906000000.0,-1443000000.0,-1537000000.0,69539000000.0,0.9375,221095000000.0,128537000000.0,1.74,46.45,0.59,0.62,1.6
52,53,MS,Morgan Stanley,160354537200,98.67,54762000000.0,0.05,344523537200.0,17.97,3.45%,9.68%,12740000000.0,8960000000.0,5.49,12308000000.0,16599000000.0,-19311000000.0,-989000000.0,12419000000.0,-8953000000.0,2789000000.0,286474000000.0,0.0365,1228503000000.0,1128363000000.0,1.62,20.76,1.4,1.69,2.31
53,54,NEE,"NextEra Energy, Inc.",159287710900,77.53,27130000000.0,0.16,238157979300.0,21.18,2.66%,10.08%,9308000000.0,7492000000.0,3.66,10802000000.0,16757000000.0,12705000000.0,-24971000000.0,10297000000.0,-1976000000.0,846000000.0,79937000000.0,0.1316,179950000000.0,120561000000.0,3.29,14.21,0.49,1.46,2.78
54,55,IBM,International Business Machines Corporation,155850184980,169.66,62070000000.0,0.47,194567184980.0,19.19,3.94%,0.61%,10377000000.0,8180000000.0,8.84,10402000000.0,14855000000.0,14325000000.0,-3320000000.0,-5600000000.0,5230000000.0,550000000.0,62871000000.0,0.0194,137169000000.0,113836000000.0,6.7,13.1,0.75,2.86,4.27
55,56,PM,Philip Morris International Inc.,155533728000,100.05,35948000000.0,0.56,201952728000.0,19.54,5.20%,2.17%,11870000000.0,7966000000.0,5.12,11683000000.0,13149000000.0,10400000000.0,-3200000000.0,-5311000000.0,1653000000.0,2587000000.0,50387000000.0,0.0693,65315000000.0,73878000000.0,16.341764603254436,15.36,0.62,1.42,1.74
56,57,CMCSA,Comcast Corporation,150852497200,38.54,121939000000.0,0.46,240910497200.0,10.2,3.22%,7.14%,23477000000.0,15411000000.0,3.78,24713000000.0,38823000000.0,29121000000.0,-7302000000.0,-20791000000.0,1008000000.0,5223000000.0,96573000000.0,-0.040999999999999995,263601000000.0,180552000000.0,1.83,6.21,0.99,0.73,2.55
57,58,NOW,"ServiceNow, Inc.",149416300000,728.86,9478000000.0,0.58,146579300000.0,78.04,0,0,950000000.0,1928000000.0,9.34,1245000000.0,1811000000.0,3837000000.0,-2561000000.0,-1067000000.0,205000000.0,-683000000.0,2273000000.0,0.015600000000000001,17544000000.0,9437000000.0,18.43,80.94,0.98,18.65,2.12
58,59,GS,"The Goldman Sachs Group, Inc.",148272171840,459.81,48243000000.0,0.03,801343171840.0,17.95,2.39%,10.00%,11983000000.0,8751000000.0,25.61,11983000000.0,16496000000.0,-50029000000.0,-23314000000.0,55515000000.0,-19942000000.0,2569000000.0,862456000000.0,0.1322,1698440000000.0,1579894000000.0,1.25,48.58,1.39,7.38,2.36
59,60,MU,"Micron Technology, Inc.",146914777900,132.67,18312000000.0,0.28,152223777900.0,43.88826884878964,0.35%,0,-4170000000.0,-3767000000.0,-3.45,-3677000000.0,4055000000.0,2893000000.0,-4719000000.0,91000000.0,-1786000000.0,-434000000.0,14315000000.0,0.11109999999999999,65718000000.0,21848000000.0,3.35,37.54,1.28,4.26,1.42
60,61,BX,Blackstone Inc.,146548844562,121.21,10328824000.0,0.25,155568481562.0,42.83,2.74%,-13.85%,5182262000.0,2152454000.0,2.83,3337541000.0,3373601000.0,4644024000.0,-172437000.0,-4818440000.0,-349111000.0,749457000.0,11691819000.0,-0.1243,39706302000.0,21228868000.0,21.07,46.11,1.5,3.51,5.01
61,62,ISRG,"Intuitive Surgical, Inc.",142247747180,401.03,7318500000.0,0.49,137447647180.0,72.39,0,0,1848600000.0,1987600000.0,5.54,2059300000.0,2531800000.0,1707800000.0,-1061700000.0,46900000.0,701300000.0,71700000.0,33576454771.893005,0.09570443481114932,15828000000.0,1781600000.0,10.19,54.29,1.39,8.14,2.68
62,63,RTX,RTX Corp,140289895200,105.52,71011000000.0,0.44,178936895200.0,41.87,2.39%,7.14%,3339000000.0,3478000000.0,2.52,5267000000.0,9503000000.0,9088000000.0,-1767000000.0,-7630000000.0,-300000000.0,194000000.0,44254000000.0,0.2255,160187000000.0,98050000000.0,2.32,18.83,0.58,1.3,4.96
63,64,UNP,Union Pacific Corporation,139724039220,229.01,24094000000.0,0.36,171723039220.0,21.87,2.27%,0,9160000000.0,6390000000.0,10.47,9559000000.0,11899000000.0,8661000000.0,-3664000000.0,-5149000000.0,-152000000.0,1841000000.0,32944000000.0,-0.0592,67266000000.0,51601000000.0,8.92,14.43,1.06,3.89,1.9
64,65,COP,Conoco Phillips,139127288800,118.96,57533000000.0,0.61,151483288800.0,13.47,1.57%,-6.03%,16744000000.0,10588000000.0,8.83,16331000000.0,24870000000.0,19547000000.0,-12693000000.0,-8160000000.0,-1374000000.0,4946000000.0,18417000000.0,0.1106,95348000000.0,46023000000.0,2.82,6.09,1.26,2.16,3.02
65,66,NKE,"NIKE, Inc.",138870462324,92.0,51581000000.0,1.39,140398462324.0,27.06,1.61%,9.43%,5986000000.0,5231000000.0,3.4,6084000000.0,6960000000.0,7063000000.0,1611000000.0,-6649000000.0,2005000000.0,989000000.0,12101000000.0,-0.037000000000000005,37356000000.0,23130000000.0,9.76,20.17,1.08,1.51,1.87
66,67,ETN,Eaton Corporation plc,134876528000,337.36,23656000000.0,0.63,142222528000.0,39.83,1.12%,7.78%,4114000000.0,3401000000.0,8.47,4193000000.0,5106000000.0,3764000000.0,-2418000000.0,-1126000000.0,238000000.0,660000000.0,9788000000.0,0.056799999999999996,38535000000.0,19209000000.0,6.99,27.85,1.06,7.26,1.65
67,68,SPGI,S&P Global Inc.,134859900000,431.0,12828000000.0,0.21,145544900000.0,48.32,0.84%,3.43%,4232000000.0,2823000000.0,8.92,3987000000.0,5130000000.0,4064000000.0,795000000.0,-4707000000.0,139000000.0,838000000.0,12229000000.0,0.09073388341156656,60477000000.0,22228000000.0,3.93,28.37,1.14,6.45,1.54
68,69,UBER,"Uber Technologies, Inc.",132726310400,63.52,38589000000.0,1.04,135159310400.0,100.83,0,0,1544000000.0,1390000000.0,0.63,2166000000.0,2976000000.0,4395000000.0,-3069000000.0,-88000000.0,1191000000.0,187000000.0,11161000000.0,0.0074,39599000000.0,27100000000.0,12.0,45.42,1.39,2.09,2.18
69,70,INTC,Intel Corporation,132222420000,31.06,55237000000.0,0.29,163829690000.0,32.35,1.61%,-59.02%,492000000.0,4066000000.0,0.96,628000000.0,10415000000.0,12033000000.0,-18083000000.0,4741000000.0,-1309000000.0,-2805000000.0,52450000000.0,0.0433,192733000000.0,81977000000.0,1.25,15.73,1.09,0.94,1.23
70,71,HON,Honeywell International Inc.,129703227480,199.18,36903000000.0,0.59,142954227480.0,23.08,2.17%,4.91%,8063000000.0,5727000000.0,8.63,8051000000.0,9235000000.0,6572000000.0,-1537000000.0,-94000000.0,4887000000.0,1509000000.0,25256000000.0,0.318,65645000000.0,48600000000.0,7.88,15.48,1.02,2.85,2.33
71,72,SYK,Stryker Corporation,129260144500,339.31,20963000000.0,0.54,139718144500.0,38.73,0.94%,6.96%,4125000000.0,3361000000.0,8.76,3917000000.0,4321000000.0,3470000000.0,-1238000000.0,-1531000000.0,659000000.0,556000000.0,12865000000.0,-0.015,39402000000.0,20230000000.0,6.74,32.33,0.92,5.7,2.57
72,73,BKNG,Booking Holdings Inc.,128589296300,3790.12,22002000000.0,0.84,130054296300.0,28.19,0.92%,0,6176000000.0,4799000000.0,134.44,7037000000.0,7718000000.0,7159000000.0,-31000000.0,-5563000000.0,1492000000.0,1316000000.0,17456000000.0,0.37829999999999997,27728000000.0,31780000000.0,13.510741609901721,16.85,1.4,78.26,3.5
73,74,LRCX,Lam Research Corporation,126983503660,971.26,14241136000.0,0.77,126294722660.0,35.67,0.82%,15.94%,3991958000.0,3610027000.0,27.23,4069481000.0,4430427000.0,4912564000.0,-324181000.0,-4459685000.0,117417000.0,459454000.0,4983451000.0,-0.0044,18279650000.0,10257549000.0,15.83,28.51,1.51,27.03,2.27
74,75,SCHW,The Charles Schwab Corporation,125813651200,70.79,18461000000.0,0.04,123426651200.0,29.62,1.41%,6.38%,6066000000.0,4367000000.0,2.39,6066000000.0,7450000000.0,8461000000.0,55857000000.0,-76075000000.0,-11757000000.0,1240000000.0,55270000000.0,-0.2396,468784000000.0,426372000000.0,2.97,16.57,0.98,1.71,1.95
75,76,T,AT&T Inc.,123828835900,17.27,122317000000.0,0.3,270363835900.0,9.28,6.43%,0,23306000000.0,13411000000.0,1.86,24366000000.0,43559000000.0,39183000000.0,-18803000000.0,-19718000000.0,662000000.0,4029000000.0,150055000000.0,-0.0375,399428000000.0,280808000000.0,1.18,6.21,0.7,0.26,2.17
76,77,LOW,"Lowe's Companies, Inc.",123232991040,215.37,86377000000.0,1.98,162149991040.0,16.32,2.04%,4.76%,11557000000.0,7726000000.0,13.2,11557000000.0,13979000000.0,8140000000.0,-1901000000.0,-6666000000.0,-427000000.0,2449000000.0,40145000000.0,0.056600000000000004,41795000000.0,56845000000.0,12.947960270910777,11.6,1.14,4.61,3.87
